name,mode,loss,max_iter,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,cv_mean_wape,cv_worst_wape,cv_std_wape,fold_2021_wape,fold_2022_wape,fold_2023_wape,fit_seconds
occupancy_rate_squared_base,occupancy_rate,squared_error,240,0.06,31,40,0.2,0.17008368380672292,0.1735059766807635,0.002649584762630533,0.1735059766807635,0.16969404512025285,0.16705102961915247,13.503248900000472
occupancy_rate_squared_wide,occupancy_rate,squared_error,360,0.04,63,50,0.4,0.17044871334034864,0.17398650153933365,0.0027475223014726724,0.17398650153933365,0.17007135048016636,0.16728828800154588,23.11849379999876
direct_absolute_base,direct,absolute_error,240,0.06,31,40,0.2,0.17076605513772233,0.17475791644199382,0.002987118957327444,0.17475791644199382,0.16996724686589376,0.16757300210527937,20.127722900000663
residual_rate_squared_base,residual_rate,squared_error,240,0.06,31,40,0.2,0.1707780420200922,0.17479547805180656,0.003144636052172334,0.17479547805180656,0.17042106843036314,0.16711757957810688,14.126568999998199
residual_rate_squared_wide,residual_rate,squared_error,360,0.04,63,50,0.4,0.1709740259768929,0.17519671536751585,0.003267959928726579,0.17519671536751585,0.17048933855230083,0.16723602401086204,24.76094540000122
occupancy_rate_absolute_base,occupancy_rate,absolute_error,240,0.06,31,40,0.2,0.17132110807637177,0.17648914703948707,0.003899262180821844,0.17648914703948707,0.17040289119085392,0.16707128599877433,19.76208080000106
residual_rate_absolute_base,residual_rate,absolute_error,240,0.06,31,40,0.2,0.17181909220941236,0.17649375477935034,0.003535215098387755,0.17649375477935034,0.17101710000123352,0.16794642184765324,20.826966199998424
residual_rooms_absolute_base,residual_rooms,absolute_error,240,0.06,31,40,0.2,0.17184673854259702,0.1759730433980446,0.0032177481370241575,0.1759730433980446,0.17144523011703375,0.16812194211271272,20.54389379999884
direct_poisson_base,direct,poisson,240,0.06,31,40,0.2,0.17197081016536678,0.17514039463358622,0.002658975261829446,0.17514039463358622,0.17213830925653603,0.16863372660597806,16.55404989999988
direct_squared_base,direct,squared_error,240,0.06,31,40,0.2,0.17212534843053548,0.17500472925346475,0.0024082332414878172,0.17500472925346475,0.17226085818905582,0.16911045784908585,14.084241099999417
direct_poisson_wide,direct,poisson,360,0.04,63,50,0.4,0.17268166415784778,0.17605799624374163,0.002873603849020553,0.17605799624374163,0.17295224385030936,0.16903475237949225,28.185274800001935
residual_rooms_squared_base,residual_rooms,squared_error,240,0.06,31,40,0.2,0.17306182572831144,0.17629450622699197,0.0026117418800354507,0.17629450622699197,0.17299278185232198,0.16989818910562035,12.52025070000309
direct_squared_wide,direct,squared_error,360,0.04,63,50,0.4,0.17343098506183333,0.17615862990407613,0.0022073147544283338,0.17615862990407613,0.17338181957262053,0.17075250570880338,21.24690969999756
residual_rooms_squared_wide,residual_rooms,squared_error,360,0.04,63,50,0.4,0.17372290825045933,0.1767129895199094,0.002543439985441161,0.1767129895199094,0.17395939611416403,0.17049633911730458,21.34987010000077
