trial_id,model_family,configuration,validation_pr_auc,validation_roc_auc,top_fraction,selected_rows,recall_at_15,precision_at_15,lift_at_15,score_cutoff_at_15,brier_score,monthly_pr_auc_mean,monthly_pr_auc_std,monthly_pr_auc_min
LightGBM:scale_pos_weight=10,LightGBM,scale_pos_weight=10,0.01640632472781753,0.6494070244743753,0.15,5490,0.3023255813953488,0.016575591985428052,2.0155038759689923,0.13874705943581234,0.015394063998261745,0.020994659043570424,0.007763064067438686,0.012063864535982047
LightGBM:scale_pos_weight=20,LightGBM,scale_pos_weight=20,0.015059667691484202,0.6525340611874484,0.15,5490,0.30564784053156147,0.016757741347905284,2.03765227021041,0.23607431816592328,0.030287402388794817,0.019734698137624008,0.0071312382328799885,0.01181485676979924
LightGBM:scale_pos_weight=40,LightGBM,scale_pos_weight=40,0.014927757473686494,0.65005602691342,0.15,5490,0.292358803986711,0.016029143897996357,1.9490586932447396,0.3626351278193611,0.0636383835140677,0.019148102847399262,0.006503202076015263,0.011983987445158469
LightGBM:scale_pos_weight=118.967,LightGBM,scale_pos_weight=118.967,0.014876219889124296,0.6470757044733392,0.15,5490,0.3089700996677741,0.016939890710382512,2.059800664451827,0.6267672760892434,0.18894751003405594,0.02063866965348851,0.008750748187082293,0.012329223784347792
LightGBM:scale_pos_weight=5,LightGBM,scale_pos_weight=5,0.014820019755529911,0.6472119391554035,0.15,5490,0.29900332225913623,0.01639344262295082,1.9933554817275747,0.07553373106988025,0.009999443394362312,0.019839231484056016,0.007826097887522128,0.011947899383700927
LightGBM:scale_pos_weight=1,LightGBM,scale_pos_weight=1,0.014535609014275868,0.6545392782847591,0.15,5490,0.3089700996677741,0.016939890710382512,2.059800664451827,0.015866267180600455,0.008143912379191008,0.01883186453625368,0.006900867790547115,0.011594473229424569
LightGBM:scale_pos_weight=10.9072,LightGBM,scale_pos_weight=10.9072,0.014532088168133218,0.6443159568292107,0.15,5490,0.31561461794019935,0.017304189435336976,2.104097452934662,0.14446902301442097,0.01598540609161917,0.020036538074239624,0.007552989946528392,0.01226738381314688
RandomForest:class_weight=none,RandomForest,class_weight=none,0.014604847747366964,0.6600725938195675,0.15,5490,0.30564784053156147,0.016757741347905284,2.03765227021041,0.01620434013714154,0.008136851480164952,0.01841125303194408,0.006222394061732543,0.010555887457819144
RandomForest:class_weight=balanced_subsample,RandomForest,class_weight=balanced_subsample,0.014384942295179285,0.659968072484722,0.15,5490,0.292358803986711,0.016029143897996357,1.9490586932447396,0.5395661425609978,0.14209713297458396,0.016936030302163504,0.006048938683248108,0.009160349962345214
XGBoost:scale_pos_weight=1,XGBoost,scale_pos_weight=1,0.014628744471148005,0.6494202040472454,0.15,5490,0.30564784053156147,0.016757741347905284,2.03765227021041,0.016734587028622627,0.008150928925613431,0.01857741808740699,0.0069765363180912966,0.009889017709502623
XGBoost:scale_pos_weight=10,XGBoost,scale_pos_weight=10,0.014103250948870761,0.6358534354615994,0.15,5490,0.2857142857142857,0.015664845173041893,1.9047619047619047,0.13644982874393463,0.015720979648872518,0.019578903239228087,0.008821977775550691,0.010251106286771835
XGBoost:scale_pos_weight=20,XGBoost,scale_pos_weight=20,0.013658155545573725,0.6358926538433693,0.15,5490,0.27906976744186046,0.015300546448087432,1.8604651162790697,0.2335570603609085,0.030363563216266886,0.016392439428744094,0.005699782075132756,0.009926399618738197
XGBoost:scale_pos_weight=10.9072,XGBoost,scale_pos_weight=10.9072,0.013610862072167202,0.6377639701413116,0.15,5490,0.28903654485049834,0.015846994535519125,1.9269102990033222,0.1469658464193344,0.017023980750031514,0.01699657147081561,0.0068460983334783475,0.010641034006778797
XGBoost:scale_pos_weight=40,XGBoost,scale_pos_weight=40,0.013567134097057294,0.6379847279868871,0.15,5490,0.2823920265780731,0.015482695810564663,1.8826135105204873,0.36493727564811707,0.06257175096399473,0.016642982466930852,0.006556466398920813,0.010088042682595947
XGBoost:scale_pos_weight=118.967,XGBoost,scale_pos_weight=118.967,0.013553238133791765,0.638850232367768,0.15,5490,0.2823920265780731,0.015482695810564663,1.8826135105204873,0.610042154788971,0.16723278282548024,0.01720061234324043,0.00645171145461206,0.010149729347540805
XGBoost:scale_pos_weight=5,XGBoost,scale_pos_weight=5,0.013421084119900693,0.6384589637981846,0.15,5490,0.2724252491694352,0.01493624772313297,1.8161683277962348,0.07598645985126495,0.010294394769330946,0.01817941503501554,0.007797349777298145,0.010456613614025247
