split,bin,rows,predicted_rate,actual_rate
VALIDATION,"(0.0009400000000000001, 0.00268]",3661,0.0024713719549620066,0.002458344714558864
VALIDATION,"(0.00268, 0.003]",3659,0.0028328083853793986,0.004372779447936594
VALIDATION,"(0.003, 0.00353]",3660,0.0032232396421844134,0.00273224043715847
VALIDATION,"(0.00353, 0.00573]",3660,0.004843999992707193,0.006557377049180328
VALIDATION,"(0.00573, 0.00644]",3663,0.006097270646766401,0.00546000546000546
VALIDATION,"(0.00644, 0.00731]",3659,0.006841428520423882,0.005465974309920744
VALIDATION,"(0.00731, 0.0126]",3659,0.009339174171734606,0.007925662749385078
VALIDATION,"(0.0126, 0.0144]",3659,0.013585490644306463,0.017764416507242416
VALIDATION,"(0.0144, 0.0161]",3660,0.015221545646255472,0.01366120218579235
VALIDATION,"(0.0161, 0.0281]",3660,0.017931712644861663,0.015846994535519125
TEST,"(0.0008799999999999999, 0.0027]",2074,0.002474403110460094,0.0014464802314368371
TEST,"(0.0027, 0.00303]",2067,0.002866682104093886,0.0019351717464925011
TEST,"(0.00303, 0.00364]",2070,0.003271370027317093,0.003381642512077295
TEST,"(0.00364, 0.00572]",2070,0.004872191101475889,0.003864734299516908
TEST,"(0.00572, 0.00651]",2072,0.006123634095281205,0.004343629343629344
TEST,"(0.00651, 0.00741]",2068,0.006910540447764186,0.010154738878143133
TEST,"(0.00741, 0.0126]",2069,0.009433977870547136,0.008699855002416627
TEST,"(0.0126, 0.0144]",2073,0.013580965923528532,0.015918958031837915
TEST,"(0.0144, 0.0164]",2068,0.015365138366322589,0.01160541586073501
TEST,"(0.0164, 0.0286]",2070,0.018382056448377745,0.015458937198067632
