split,month,rows,predicted_rate,actual_rate,absolute_gap
VALIDATION,2025-01,3030,0.008154478073107416,0.008580858085808581,0.0004263800127011653
VALIDATION,2025-02,2970,0.008160089132383938,0.008754208754208754,0.0005941196218248162
VALIDATION,2025-03,3000,0.008234605827906192,0.006666666666666667,0.0015679391612395252
VALIDATION,2025-04,3000,0.008195660675212844,0.007666666666666666,0.0005289940085461782
VALIDATION,2025-05,3030,0.008266444761892935,0.006600660066006601,0.0016657846958863347
VALIDATION,2025-06,2970,0.008246426449171514,0.007407407407407408,0.0008390190417641059
VALIDATION,2025-07,3030,0.008272726172640915,0.01155115511551155,0.0032784289428706356
VALIDATION,2025-08,3270,0.008241346833647724,0.010091743119266056,0.0018503962856183317
VALIDATION,2025-09,3030,0.008242777156827407,0.007920792079207921,0.0003219850776194858
VALIDATION,2025-10,2970,0.008229800201399419,0.010774410774410775,0.0025446105730113563
VALIDATION,2025-11,3030,0.008314519552490181,0.006270627062706271,0.0020438924897839108
VALIDATION,2025-12,3270,0.0082960770221698,0.006422018348623854,0.001874058673545946
TEST,2026-01,3000,0.00819424008181201,0.010333333333333333,0.0021390932515213228
TEST,2026-02,2700,0.00843058280398156,0.01,0.0015694171960184394
TEST,2026-03,3300,0.00835352172890244,0.005454545454545455,0.0028989762743569843
TEST,2026-04,3000,0.00834631272827137,0.005666666666666667,0.002679646061604703
TEST,2026-05,3000,0.008341082207997591,0.007,0.0013410822079975909
TEST,2026-06,3000,0.008312886702868985,0.009333333333333334,0.0010204466304643486
TEST,2026-07,2701,0.00832252058963804,0.006293965198074787,0.0020285553915632528
