model_family,family_rank_by_ap,trial_id,configuration,validation_average_precision,validation_roc_auc,brier_score,recall_at_15,precision_at_15,lift_at_15,monthly_average_precision_mean,monthly_average_precision_std,monthly_average_precision_min
LightGBM,1,LightGBM:scale_pos_weight=10,scale_pos_weight=10,0.0164063247278175,0.6494070244743753,0.0153940639982617,0.3023255813953488,0.016575591985428,2.0155038759689923,0.0209946590435704,0.0077630640674386,0.012063864535982
LightGBM,2,LightGBM:scale_pos_weight=20,scale_pos_weight=20,0.0150596676914842,0.6525340611874484,0.0302874023887948,0.3056478405315614,0.0167577413479052,2.03765227021041,0.019734698137624,0.0071312382328799,0.0118148567697992
LightGBM,3,LightGBM:scale_pos_weight=40,scale_pos_weight=40,0.0149277574736864,0.65005602691342,0.0636383835140677,0.292358803986711,0.0160291438979963,1.94905869324474,0.0191481028473992,0.0065032020760152,0.0119839874451584
LightGBM,4,LightGBM:scale_pos_weight=118.967,scale_pos_weight=118.967,0.0148762198891242,0.6470757044733392,0.1889475100340559,0.3089700996677741,0.0169398907103825,2.059800664451827,0.0206386696534885,0.0087507481870822,0.0123292237843477
LightGBM,5,LightGBM:scale_pos_weight=5,scale_pos_weight=5,0.0148200197555299,0.6472119391554035,0.0099994433943623,0.2990033222591362,0.0163934426229508,1.9933554817275747,0.019839231484056,0.0078260978875221,0.0119478993837009
LightGBM,6,LightGBM:scale_pos_weight=1,scale_pos_weight=1,0.0145356090142758,0.6545392782847591,0.008143912379191,0.3089700996677741,0.0169398907103825,2.059800664451827,0.0188318645362536,0.0069008677905471,0.0115944732294245
LightGBM,7,LightGBM:scale_pos_weight=10.9072,scale_pos_weight=10.9072,0.0145320881681332,0.6443159568292107,0.0159854060916191,0.3156146179401993,0.0173041894353369,2.104097452934662,0.0200365380742396,0.0075529899465283,0.0122673838131468
RandomForest,1,RandomForest:class_weight=none,class_weight=none,0.0146048477473669,0.6600725938195675,0.0081368514801649,0.3056478405315614,0.0167577413479052,2.03765227021041,0.018411253031944,0.0062223940617325,0.0105558874578191
RandomForest,2,RandomForest:class_weight=balanced_subsample,class_weight=balanced_subsample,0.0143849422951792,0.659968072484722,0.1420971329745839,0.292358803986711,0.0160291438979963,1.94905869324474,0.0169360303021635,0.0060489386832481,0.0091603499623452
XGBoost,1,XGBoost:scale_pos_weight=1,scale_pos_weight=1,0.014628744471148,0.6494202040472454,0.0081509289256134,0.3056478405315614,0.0167577413479052,2.03765227021041,0.0185774180874069,0.0069765363180912,0.0098890177095026
XGBoost,2,XGBoost:scale_pos_weight=10,scale_pos_weight=10,0.0141032509488707,0.6358534354615994,0.0157209796488725,0.2857142857142857,0.0156648451730418,1.9047619047619049,0.019578903239228,0.0088219777755506,0.0102511062867718
XGBoost,3,XGBoost:scale_pos_weight=20,scale_pos_weight=20,0.0136581555455737,0.6358926538433693,0.0303635632162668,0.2790697674418604,0.0153005464480874,1.8604651162790695,0.016392439428744,0.0056997820751327,0.0099263996187381
XGBoost,4,XGBoost:scale_pos_weight=10.9072,scale_pos_weight=10.9072,0.0136108620721672,0.6377639701413116,0.0170239807500315,0.2890365448504983,0.0158469945355191,1.9269102990033224,0.0169965714708156,0.0068460983334783,0.0106410340067787
XGBoost,5,XGBoost:scale_pos_weight=40,scale_pos_weight=40,0.0135671340970572,0.6379847279868871,0.0625717509639947,0.2823920265780731,0.0154826958105646,1.8826135105204875,0.0166429824669308,0.0065564663989208,0.0100880426825959
XGBoost,6,XGBoost:scale_pos_weight=118.967,scale_pos_weight=118.967,0.0135532381337917,0.638850232367768,0.1672327828254802,0.2823920265780731,0.0154826958105646,1.8826135105204875,0.0172006123432404,0.006451711454612,0.0101497293475408
XGBoost,7,XGBoost:scale_pos_weight=5,scale_pos_weight=5,0.0134210841199006,0.6384589637981846,0.0102943947693309,0.2724252491694352,0.0149362477231329,1.8161683277962348,0.0181794150350155,0.0077973497772981,0.0104566136140252
