feature,importance
numeric__horizon_days,0.0
numeric__available_room_nights,0.0
numeric__inventory_plan_known,0.0
numeric__booking_on_hand,0.0
numeric__cancelled_on_hand,0.0
numeric__booking_on_hand_ratio,0.0
numeric__rooms_sold_cutoff_lag_1,0.0
numeric__rooms_sold_cutoff_lag_7,0.0
numeric__rooms_sold_cutoff_lag_14,0.0
numeric__rooms_sold_cutoff_rolling_mean_7,0.0
numeric__rooms_sold_cutoff_rolling_mean_28,0.0
numeric__adr_cutoff_lag_7,0.0
numeric__cancellation_rate_cutoff_lag_28,0.0
numeric__target_day_of_week,0.0
numeric__target_month,0.0
numeric__target_is_weekend,0.0
numeric__target_is_month_start,0.0
numeric__target_is_month_end,0.0
numeric__target_is_public_holiday,0.0
numeric__target_is_holiday_eve,0.0
numeric__domestic_travel_index,0.0
numeric__inbound_travel_index,0.0
numeric__event_demand_index,0.0
categorical__room_type_code_DLX,0.0
categorical__room_type_code_STD,0.0
categorical__target_season_code_SUM,0.0
categorical__target_season_code_WIN,0.0
categorical__weather_scenario_code_A,0.0
