feature,feature_type,train_min,train_max,current_min,current_max,out_of_range_rows,out_of_range_rate,status
horizon_days,numeric,1.0,7.0,1.0,7.0,0,0.0,PASS
available_room_nights,numeric,17.0,150.0,17.0,150.0,0,0.0,PASS
inventory_plan_known,numeric,0.0,1.0,0.0,1.0,0,0.0,PASS
booking_on_hand,numeric,4.0,129.0,6.0,99.0,0,0.0,PASS
cancelled_on_hand,numeric,0.0,11.0,0.0,7.0,0,0.0,PASS
booking_on_hand_ratio,numeric,0.1,0.894737,0.25641,0.66,0,0.0,PASS
rooms_sold_cutoff_lag_1,numeric,0.0,136.0,12.0,101.0,0,0.0,PASS
rooms_sold_cutoff_lag_7,numeric,0.0,136.0,12.0,105.0,0,0.0,PASS
rooms_sold_cutoff_lag_14,numeric,0.0,136.0,11.0,87.0,0,0.0,PASS
rooms_sold_cutoff_rolling_mean_7,numeric,0.0,117.0,10.857143,106.0,0,0.0,PASS
rooms_sold_cutoff_rolling_mean_28,numeric,0.0,108.25,11.392857,103.035714,0,0.0,PASS
adr_cutoff_lag_7,numeric,157571.43,502000.0,175428.57,469000.0,0,0.0,PASS
cancellation_rate_cutoff_lag_28,numeric,0.044118,0.085809,0.053883,0.074741,0,0.0,PASS
target_day_of_week,numeric,1.0,7.0,1.0,7.0,0,0.0,PASS
target_month,numeric,1.0,12.0,7.0,8.0,0,0.0,PASS
target_is_weekend,numeric,0.0,1.0,0.0,1.0,0,0.0,PASS
target_is_month_start,numeric,0.0,1.0,0.0,1.0,0,0.0,PASS
target_is_month_end,numeric,0.0,1.0,0.0,1.0,0,0.0,PASS
target_is_public_holiday,numeric,0.0,1.0,0.0,0.0,0,0.0,PASS
target_is_holiday_eve,numeric,0.0,1.0,0.0,0.0,0,0.0,PASS
domestic_travel_index,numeric,0.901891,1.368638,1.205296,1.324641,0,0.0,PASS
inbound_travel_index,numeric,0.806744,1.132494,1.179972,1.21573,28,1.0,WARN
event_demand_index,numeric,0.884402,1.358907,0.977747,1.006367,0,0.0,PASS
room_type_code,categorical,,,,,0,0.0,PASS
target_season_code,categorical,,,,,0,0.0,PASS
weather_scenario_code,categorical,,,,,0,0.0,PASS
